,_year,detained_effective_denied,never_detained_effective_denied,released_effective_denied,detained_pct_denied,never_detained_pct_denied,released_pct_denied,detained_total,never_detained_total,released_total
0,2000,7.0,96.0,13.0,1.0,0.6713286713286714,0.8666666666666667,7.0,143.0,15.0
1,2001,27.0,359.0,59.0,0.7941176470588235,0.693050193050193,0.7763157894736842,34.0,518.0,76.0
2,2002,85.0,399.0,99.0,0.9042553191489362,0.7087033747779752,0.75,94.0,563.0,132.0
3,2003,47.0,337.0,78.0,0.9038461538461539,0.6905737704918032,0.6610169491525424,52.0,488.0,118.0
4,2004,35.0,361.0,64.0,0.9722222222222222,0.7162698412698413,0.6956521739130435,36.0,504.0,92.0
5,2005,33.0,328.0,63.0,0.9166666666666666,0.8723404255319149,0.875,36.0,376.0,72.0
6,2006,49.0,263.0,43.0,0.9245283018867925,0.7557471264367817,0.6142857142857143,53.0,348.0,70.0
7,2007,12.0,166.0,29.0,0.8,0.6058394160583942,0.6744186046511628,15.0,274.0,43.0
8,2008,20.0,147.0,22.0,0.8695652173913043,0.5464684014869888,0.4782608695652174,23.0,269.0,46.0
9,2009,25.0,134.0,12.0,0.8620689655172413,0.6063348416289592,0.35294117647058826,29.0,221.0,34.0
10,2010,15.0,89.0,9.0,0.9375,0.644927536231884,0.3333333333333333,16.0,138.0,27.0
11,2011,37.0,103.0,19.0,0.9487179487179487,0.6518987341772152,0.6129032258064516,39.0,158.0,31.0
12,2012,48.0,78.0,24.0,0.9411764705882353,0.5954198473282443,0.8,51.0,131.0,30.0
13,2013,46.0,76.0,26.0,0.9387755102040817,0.6909090909090909,0.8125,49.0,110.0,32.0
14,2014,74.0,61.0,20.0,0.8705882352941177,0.8026315789473685,0.8695652173913043,85.0,76.0,23.0
15,2015,37.0,65.0,17.0,0.9487179487179487,0.7471264367816092,0.7727272727272727,39.0,87.0,22.0
16,2016,118.0,128.0,30.0,0.9007633587786259,0.8533333333333334,0.75,131.0,150.0,40.0
17,2017,76.0,118.0,25.0,0.7524752475247525,0.8309859154929577,0.6944444444444444,101.0,142.0,36.0
18,2018,55.0,127.0,19.0,0.8461538461538461,0.7055555555555556,0.7307692307692307,65.0,180.0,26.0
19,2019,86.0,173.0,63.0,0.8775510204081632,0.7061224489795919,0.75,98.0,245.0,84.0
20,2020,49.0,76.0,36.0,0.9074074074074074,0.5801526717557252,0.7659574468085106,54.0,131.0,47.0
21,2021,15.0,88.0,34.0,0.9375,0.5714285714285714,0.6538461538461539,16.0,154.0,52.0
22,2022,15.0,353.0,44.0,1.0,0.6034188034188034,0.5945945945945946,15.0,585.0,74.0
23,2023,65.0,375.0,44.0,0.9701492537313433,0.6019261637239165,0.6027397260273972,67.0,623.0,73.0
24,2024,106.0,370.0,35.0,0.9137931034482759,0.6085526315789473,0.5384615384615384,116.0,608.0,65.0
25,2025,166.0,457.0,31.0,1.0,0.7312,0.7380952380952381,166.0,625.0,42.0
26,2026,145.0,114.0,6.0,0.9931506849315068,0.9661016949152542,0.75,146.0,118.0,8.0
